State,Latitude,Longitude,NO2,O3,SO2,CO,Month,Year
Florida,27.766279,-81.686783,18.74193548,53.06451613,2.870967742,4.096774194,5,2011
Illinois,40.349457,-88.986137,39.09677419,30.03225806,19.16129032,9.338709677,5,2011
Indiana,39.849426,-86.258278,29.5,37.60714286,16.57142857,9.464285714,5,2011
Kansas,38.5266,-96.726486,10,44.375,6.833333333,1.541666667,5,2011
Kentucky,37.66814,-84.670067,18.90322581,39.38709677,15.62903226,1.85483871,5,2011
Louisiana,31.169546,-91.867805,26.90322581,40.06451613,12.32258065,6.419354839,5,2011
Massachusetts,42.230171,-71.530106,34.61290323,28,15,9.290322581,5,2011
Michigan,43.326618,-84.536095,29.6,32.21666667,17.91666667,6.466666667,5,2011
Missouri,38.456085,-92.288368,34.41935484,36.4516129,14.61290323,8.338709677,5,2011
Nevada,38.313515,-117.055374,7,57.125,0,0,5,2011
New Hampshire,43.452492,-71.563896,20.4516129,33.80645161,10.06451613,6.161290323,5,2011
New Jersey,40.298904,-74.521011,34.53225806,24.88709677,22.09677419,9.225806452,5,2011
New York,42.165726,-74.948051,39.86466165,26.32330827,14.10447761,10.10526316,5,2011
North Carolina,35.630066,-79.806419,23.17647059,38.94117647,16.73529412,7,5,2011
Oklahoma,35.565342,-96.928917,12.4,42.42,12.92,1.08,5,2011
Pennsylvania,40.590752,-77.209755,24.95459579,34.51605759,16.43300111,3.723451327,5,2011
South Carolina,33.856892,-80.945007,3.625,38.20833333,3.958333333,3.791666667,5,2011
Texas,31.054487,-97.563461,28.22413793,53.45689655,9.827586207,6.431034483,5,2011
Arizona,34.048927,-111.431221,42.7012987,24.55844156,7.298701299,16.1038961,11,2011
California,36.116203,-119.681564,30.88407821,23.75418994,4.090782123,12.73184358,11,2011
Colorado,39.059811,-105.311104,41.35294118,17.64705882,19.31372549,13.11538462,11,2011
District Of Columbia,38.897438,-77.026817,32.93333333,17.1,29.23333333,19.76666667,11,2011
Florida,27.766279,-81.686783,20.96666667,27.5,2.4,6.433333333,11,2011
Illinois,40.349457,-88.986137,27.66666667,18,11.63333333,9.5,11,2011
Kansas,38.5266,-96.726486,18.36666667,19.45,7.65,5.866666667,11,2011
Louisiana,31.169546,-91.867805,31.83333333,23.46666667,13.83333333,10.16666667,11,2011
Massachusetts,42.230171,-71.530106,29.33333333,16.53333333,20.9,13.63333333,11,2011
New York,42.165726,-74.948051,34.42222222,16.97777778,26.71111111,11.83333333,11,2011
Oklahoma,35.565342,-96.928917,8.333333333,19.33333333,10.33333333,1,11,2011
Pennsylvania,40.590752,-77.209755,35.96666667,9.4,19.8,14.1,11,2011
Texas,31.054487,-97.563461,32.01923077,26.16346154,7.711538462,10.74038462,11,2011
Arizona,34.048927,-111.431221,46.24590164,32.98360656,7.163934426,14.26229508,10,2011
California,36.116203,-119.681564,36.27614491,37.05604921,5.200819672,12.14615908,10,2011
Colorado,39.059811,-105.311104,51,27.15384615,22.11538462,11.88461538,10,2011
District Of Columbia,38.897438,-77.026817,34.38709677,22.70967742,20.29032258,16.03225806,10,2011
Florida,27.766279,-81.686783,22.74193548,35.70967742,3.161290323,6.903225806,10,2011
Illinois,40.349457,-88.986137,37.75806452,21.17741935,34.46774194,13.11290323,10,2011
Kansas,38.5266,-96.726486,17.31914894,31.82978723,6.361702128,2.425531915,10,2011
Louisiana,31.169546,-91.867805,36.80645161,41.25806452,14.38709677,13.51612903,10,2011
Massachusetts,42.230171,-71.530106,29.35483871,19.93548387,14.93548387,9.35483871,10,2011
Missouri,38.456085,-92.288368,31.64516129,24.93548387,17.90322581,12.64516129,10,2011
New York,42.165726,-74.948051,32.27956989,22.09677419,19.3655914,9.086021505,10,2011
North Carolina,35.630066,-79.806419,30.77419355,31.29032258,14.77419355,11.25806452,10,2011
Oklahoma,35.565342,-96.928917,12.32432432,32.35135135,17.31578947,0.621621622,10,2011
Pennsylvania,40.590752,-77.209755,27.37595628,23.00546448,22.46179039,5.996728462,10,2011
Texas,31.054487,-97.563461,37.38983051,37.94067797,8.974576271,9.406779661,10,2011
Arizona,34.048927,-111.431221,34.13333333,30.43333333,4.5,6.133333333,9,2011
California,36.116203,-119.681564,25.94729345,44.26780627,5.357549858,7.462962963,9,2011
Colorado,39.059811,-105.311104,39.47368421,34.68421053,20.19298246,8.448275862,9,2011
District Of Columbia,38.897438,-77.026817,31.48275862,30,20.48275862,15.48275862,9,2011
Florida,27.766279,-81.686783,16.93333333,31.23333333,1.2,4.9,9,2011
Illinois,40.349457,-88.986137,38.23333333,31.28333333,20.75,8.583333333,9,2011
Indiana,39.849426,-86.258278,29.43333333,35.43333333,14.5,7,9,2011
Kansas,38.5266,-96.726486,19.2,36.6,6.616666667,5.566666667,9,2011
Louisiana,31.169546,-91.867805,29.93333333,41.76666667,17.5,9.866666667,9,2011
Massachusetts,42.230171,-71.530106,27.33333333,21.86666667,13.8,8.8,9,2011
Michigan,43.326618,-84.536095,31.11111111,31.55555556,12.81481481,7.055555556,9,2011
Missouri,38.456085,-92.288368,31.36666667,39.2,16.75,9.65,9,2011
New Hampshire,43.452492,-71.563896,17,26.96153846,9.192307692,4.230769231,9,2011
New Jersey,40.298904,-74.521011,23.54545455,32.95454545,10.63636364,9.318181818,9,2011
New York,42.165726,-74.948051,28.44594595,30.40540541,9.675675676,7.472972973,9,2011
North Carolina,35.630066,-79.806419,25.94285714,44.91428571,22.97142857,6.614285714,9,2011
Oklahoma,35.565342,-96.928917,12.26666667,39.5,8.8,0.6,9,2011
Pennsylvania,40.590752,-77.209755,22.11441648,30.00915332,17.3020595,4.558352403,9,2011
Texas,31.054487,-97.563461,31.51282051,49.51282051,6.376068376,6.991452991,9,2011
Arizona,34.048927,-111.431221,41.04854369,50.61165049,5.067961165,7.288461538,4,2012
California,36.116203,-119.681564,25.01994416,43.55604308,5.888006354,7.13886672,4,2012
Colorado,39.059811,-105.311104,36.10714286,36.64285714,10.64285714,7.25,4,2012
District Of Columbia,38.897438,-77.026817,36.63333333,31.9,23.8,8.466666667,4,2012
Florida,27.766279,-81.686783,21.16666667,52.26666667,2.033333333,7.866666667,4,2012
Illinois,40.349457,-88.986137,37.38333333,35.38333333,20.03333333,10.91666667,4,2012
Indiana,39.849426,-86.258278,26.46666667,42,14.43333333,7.066666667,4,2012
Kansas,38.5266,-96.726486,18.28333333,36.03333333,9.466666667,7.116666667,4,2012
Louisiana,31.169546,-91.867805,37.03333333,43.83333333,17.8,6.633333333,4,2012
Massachusetts,42.230171,-71.530106,28.33333333,32.96666667,11.13333333,2.9,4,2012
Michigan,43.326618,-84.536095,30.26666667,32.4,16.88333333,6,4,2012
Missouri,38.456085,-92.288368,30.51666667,37.48333333,16.21666667,8.216666667,4,2012
New Hampshire,43.452492,-71.563896,23.03333333,37.26666667,14.83333333,1.233333333,4,2012
New Jersey,40.298904,-74.521011,25.1,38.2,16.4,6.733333333,4,2012
New York,42.165726,-74.948051,35.45454545,33.55681818,17.88636364,6.545454545,4,2012
North Carolina,35.630066,-79.806419,30.8,52.3,12.6,7.9,4,2012
Oklahoma,35.565342,-96.928917,12.65454545,41.94545455,9.527272727,0.581818182,4,2012
Pennsylvania,40.590752,-77.209755,28.78852643,38.76152981,22.53258427,5.582677165,4,2012
Texas,31.054487,-97.563461,29.98214286,39.67857143,8.875,5.4375,4,2012
Arizona,34.048927,-111.431221,32.5,46.82258065,5.774193548,5.564516129,8,2012
California,36.116203,-119.681564,19.24151967,40.44911805,5.805970149,4.803256445,8,2012
Colorado,39.059811,-105.311104,45.77419355,23.51612903,9.903225806,10.29032258,8,2012
District Of Columbia,38.897438,-77.026817,30.32258065,38.61290323,19.32258065,9.096774194,8,2012
Florida,27.766279,-81.686783,17.5862069,34.27586207,2.896551724,2.655172414,8,2012
Illinois,40.349457,-88.986137,28.08064516,32.74193548,18.72580645,9.258064516,8,2012
Indiana,39.849426,-86.258278,25.40740741,39.25925926,19.18518519,9.555555556,8,2012
Kansas,38.5266,-96.726486,19.4375,36.89583333,7.520833333,6.104166667,8,2012
Louisiana,31.169546,-91.867805,25.06451613,43.22580645,11.5483871,8.387096774,8,2012
Massachusetts,42.230171,-71.530106,19.58064516,28.80645161,7.967741935,0.870967742,8,2012
Michigan,43.326618,-84.536095,28.66101695,30.52542373,14.94915254,7.338983051,8,2012
Missouri,38.456085,-92.288368,27.37096774,38.20967742,21.75806452,8.64516129,8,2012
New Hampshire,43.452492,-71.563896,17.25806452,34.51612903,11.35483871,5.161290323,8,2012
New Jersey,40.298904,-74.521011,30.25806452,43.5483871,15.35483871,6.387096774,8,2012
New York,42.165726,-74.948051,27.97260274,37.04931507,13.70491803,6.175824176,8,2012
North Carolina,35.630066,-79.806419,21,49.10989011,17.23076923,6.032967033,8,2012
Oklahoma,35.565342,-96.928917,12.72,48.27333333,3.86,0.350649351,8,2012
Pennsylvania,40.590752,-77.209755,22.63876652,42.1784141,21.76651982,4.806167401,8,2012
Texas,31.054487,-97.563461,25.43442623,52.2704918,6.024590164,4.721311475,8,2012
Arizona,34.048927,-111.431221,38.57664234,17.54744526,7.576642336,15.36231884,12,2012
California,36.116203,-119.681564,30.72508361,20.5083612,5.882274247,13.04812834,12,2012
Colorado,39.059811,-105.311104,43.80645161,16.48387097,14.4516129,16.29032258,12,2012
District Of Columbia,38.897438,-77.026817,33.16129032,15.19354839,18.12903226,14.67741935,12,2012
Florida,27.766279,-81.686783,25.48148148,25.25925926,3.888888889,11.25925926,12,2012
Illinois,40.349457,-88.986137,23.1,15.23333333,33.93333333,10.03333333,12,2012
Kansas,38.5266,-96.726486,17.40322581,21.27419355,14.19354839,9.177419355,12,2012
Louisiana,31.169546,-91.867805,31.73333333,20.46666667,25.6,7.433333333,12,2012
Massachusetts,42.230171,-71.530106,23.5483871,14,12.83870968,8.580645161,12,2012
New Jersey,40.298904,-74.521011,35.34482759,14.06896552,21.5862069,9.75862069,12,2012
New York,42.165726,-74.948051,31.03225806,15.02150538,36.76344086,8.021505376,12,2012
Oklahoma,35.565342,-96.928917,26,8,7,0,12,2012
Pennsylvania,40.590752,-77.209755,36.70967742,9.387096774,20.64516129,12.22580645,12,2012
Texas,31.054487,-97.563461,33.20083682,22,8.506276151,9.74789916,12,2012
Arizona,34.048927,-111.431221,45.1849711,30.51445087,6.595375723,12.37931034,2,2012
California,36.116203,-119.681564,31.39703704,27.66962963,4.58962963,11.16444444,2,2012
Colorado,39.059811,-105.311104,43.96551724,22.96551724,19.55172414,11.44827586,2,2012
District Of Columbia,38.897438,-77.026817,47.96551724,20.75862069,23.96551724,15.86206897,2,2012
Florida,27.766279,-81.686783,21.55172414,29.37931034,3.206896552,9.275862069,2,2012
Illinois,40.349457,-88.986137,33.10344828,21.20689655,21.20689655,8.24137931,2,2012
Kansas,38.5266,-96.726486,23.34545455,28.72727273,13.01818182,5.345454545,2,2012
Louisiana,31.169546,-91.867805,27.65517241,26.55172414,21,7.724137931,2,2012
Massachusetts,42.230171,-71.530106,32.55172414,23.65517241,20.27586207,4.379310345,2,2012
New Jersey,40.298904,-74.521011,36.1,22.2,25.2,11.55,2,2012
New York,42.165726,-74.948051,37.14285714,22.78571429,35.30952381,7.202380952,2,2012
Oklahoma,35.565342,-96.928917,13.375,35.25,6.625,0.5,2,2012
Pennsylvania,40.590752,-77.209755,44.65517241,16.51724138,22.65517241,10.72413793,2,2012
Texas,31.054487,-97.563461,33.87931034,27.95689655,8,7.431034483,2,2012
Arizona,34.048927,-111.431221,42.41935484,22.86021505,7.107526882,15.13978495,1,2012
California,36.116203,-119.681564,32.54481793,21.09943978,5.191042687,14.52274318,1,2012
Colorado,39.059811,-105.311104,45.70967742,17.74193548,18.4516129,15.93548387,1,2012
District Of Columbia,38.897438,-77.026817,29.74193548,18.83870968,26.25806452,9.064516129,1,2012
Florida,27.766279,-81.686783,30.58064516,28.83870968,8.580645161,9.35483871,1,2012
Illinois,40.349457,-88.986137,27.19354839,15.5483871,23.70967742,6.580645161,1,2012
Kansas,38.5266,-96.726486,20.32258065,19.43548387,8.177419355,5.951612903,1,2012
Louisiana,31.169546,-91.867805,31.87096774,20.22580645,15.80645161,13.16129032,1,2012
Massachusetts,42.230171,-71.530106,27.33333333,17.66666667,18.88888889,4.777777778,1,2012
New Jersey,40.298904,-74.521011,32.16,17.96,29.56,7.72,1,2012
New York,42.165726,-74.948051,28.95705521,17.54601227,35.15337423,6.402439024,1,2012
Pennsylvania,40.590752,-77.209755,30.77358491,12.90566038,28.8490566,9.576923077,1,2012
Texas,31.054487,-97.563461,30.83870968,21.62096774,9.290322581,8.370967742,1,2012
